Date,Value,Ratio,HALF_YEAR
1996/1/31,631.484,100.0,100.0
1996/2/29,638.59,101.12528583463714,101.12528583463714
1996/3/29,644.658,102.08619695827606,102.08619695827606
1996/4/30,652.369,103.30728886242565,103.30728886242565
1996/5/31,662.151,104.85633840287322,103.30728886242565
1996/6/28,664.253,105.18920511050162,103.30728886242565
1996/7/31,641.376,101.56646882581347,103.30728886242565
1996/8/30,657.754,104.16004205965629,103.30728886242565
1996/9/30,683.084,108.17122840800398,103.30728886242565
1996/10/31,699.934,110.83954621178049,103.30728886242565
1996/11/29,744.123,117.83718985754192,109.82939778632667
1996/12/31,739.952,117.17668222789491,109.21377588219687
1997/1/31,766.64,121.40291757194164,113.15281145578012
1997/2/28,772.588,122.34482583881775,114.03071102081583
1997/3/31,757.957,120.02790252801337,111.87123749424597
1997/4/30,781.011,123.67866802642664,115.27391008542509
1997/5/30,820.997,130.01073661407096,115.27391008542509
1997/6/30,856.565,135.6431833585649,115.27391008542509
1997/7/31,908.498,143.86714469408568,115.27391008542509
1997/8/29,849.934,134.5931171652805,115.27391008542509
1997/9/30,905.866,143.4503487024216,115.27391008542509
1997/10/31,863.248,136.70148412311318,115.27391008542509
1997/11/28,888.423,140.6881251148089,118.63565628860258
1997/12/31,907.138,143.65177898410727,121.13476573021
1998/1/30,923.56,146.25231993209644,123.32767918199077
1998/2/27,993.182,157.27746071159362,132.6246600819957
1998/3/31,1048.725,166.07309132139528,140.041600275167
1998/4/30,1059.406,167.7645039304242,141.4678887040107
1998/5/29,1050.137,166.29669160263757,141.4678887040107
1998/6/30,1074.889,170.21634752424444,141.4678887040107
1998/7/31,1073.225,169.9528412438003,141.4678887040107
1998/8/31,926.547,146.7253327083505,141.4678887040107
1998/9/30,946.222,149.84100943175122,141.4678887040107
1998/10/30,1022.703,161.95232183238213,141.4678887040107
1998/11/30,1083.794,171.62651785318394,149.9184503908511
1998/12/31,1136.626,179.992842257286,157.22656574399883
1999/1/29,1162.019,184.0140051054342,160.73911444861884
1999/2/26,1129.182,178.81403170943364,156.19685627457062
1999/3/31,1162.896,184.1528843169423,160.86042761421373
1999/4/30,1207.065,191.14736081990992,166.97021234757958
1999/5/31,1164.505,184.40768095470355,166.97021234757958
1999/6/30,1210.86,191.74832616503346,166.97021234757958
1999/7/30,1190.418,188.51118951549046,166.97021234757958
1999/8/31,1187.766,188.0912263810326,166.97021234757958
1999/9/30,1162.602,184.10632731787345,166.97021234757958
1999/10/29,1223.35,193.72620683976155,166.97021234757958
1999/11/30,1253.571,198.51191795833304,171.09495734071825
1999/12/31,1357.45,214.96189927219058,185.2729919902088
2000/1/31,1275.462,201.97851410328684,174.08277351638415
2000/2/29,1283.343,203.22652672118375,175.1584200962765
2000/3/31,1368.07,216.64365209569837,186.7224738679472
2000/4/28,1315.878,208.3786762609979,179.59899381494122
2000/5/31,1286.264,203.6890879262182,179.59899381494122
2000/6/30,1321.764,209.3107663852132,179.59899381494122
2000/7/31,1300.172,205.89151902502675,179.59899381494122
2000/8/31,1335.574,211.49767848433214,179.59899381494122
2000/9/29,1262.624,199.94552514394664,179.59899381494122
2000/10/31,1247.175,197.4990656928758,179.59899381494122
2000/11/30,1167.115,184.8209930892944,168.06998189213633
2000/12/29,1196.391,189.45705671085886,172.28586189528443
2001/1/31,1223.28,193.71512183998328,176.15800280950253
2001/2/28,1113.054,176.26004776051334,160.28494674900926
2001/3/30,1033.462,163.65608629830683,148.82332900032216
2001/4/30,1108.876,175.5984316308885,159.6832953398976
2001/5/31,1090.587,172.70223790309808,159.6832953398976
2001/6/29,1059.023,167.7038531459229,159.6832953398976
2001/7/31,1052.088,166.60564638217278,159.6832953398976
2001/8/31,997.1,157.89790398489907,159.6832953398976
2001/9/28,908.956,143.9396722640637,159.6832953398976
2001/10/31,927.973,146.9511499895484,159.6832953398976
2001/11/30,986.753,156.25938266052663,169.79801214747624
2001/12/31,999.463,158.27210190598652,171.98511746602549
2002/1/31,972.818,154.05267591894648,167.4001118631345
2002/2/28,958.81,151.83440910616895,164.98964991960673
2002/3/29,998.546,158.1268884088908,171.82732237734655
2002/4/30,954.744,151.19052897618943,164.28998271069872
2002/5/31,948.226,150.15835713969,164.28998271069872
2002/6/28,888.466,140.6949344718156,164.28998271069872
2002/7/31,811.429,128.49557550151707,164.28998271069872
2002/8/30,812.373,128.6450646413844,164.28998271069872
2002/9/30,716.662,113.48854444451483,164.28998271069872
2002/10/31,780.151,123.54248088629322,164.28998271069872
2002/11/29,822.056,130.17843682500268,173.1146483529806
2002/12/31,779.516,123.44192410259008,164.1562597019206
2003/1/31,755.881,119.69915310601692,159.1790261389727
2003/2/28,739.708,117.13804308581055,155.77319586972976
2003/3/31,738.755,116.98712873168598,155.5725060628548
2003/4/30,809.096,128.1261282946203,170.38543544941365
2003/5/30,853.657,135.18268079634638,170.38543544941365
2003/6/30,862.869,136.64146676717067,170.38543544941365
2003/7/31,877.787,139.0038385770661,170.38543544941365
2003/8/29,888.292,140.66738032950954,170.38543544941365
2003/9/30,888.003,140.62161511613914,170.38543544941365
2003/10/31,940.985,149.0116930911947,170.38543544941365
2003/11/28,958.377,151.76584046468318,173.53462857505986
2003/12/31,1016.912,161.03527563643735,184.133640742131
2004/1/30,1032.315,163.4744506590824,186.9226829290174
2004/2/27,1050.29,166.32092024501014,190.1774406586339
2004/3/31,1026.739,162.59145124817098,185.91302901522928
2004/4/30,1007.703,159.5769647370321,182.46615457066846
2004/5/31,1019.139,161.38793698652697,182.46615457066846
2004/6/30,1034.757,163.86115879420538,182.46615457066846
2004/7/30,1003.188,158.86198225133177,182.46615457066846
2004/8/31,1005.266,159.1910483876076,182.46615457066846
2004/9/30,1027.955,162.78401353003397,182.46615457066846
2004/10/29,1052.161,166.61720645337016,182.46615457066846
2004/11/30,1106.076,175.1550316397565,191.81611405755075
2004/12/31,1145.693,181.42866644285522,198.68650903096847
2005/1/31,1119.268,177.24407902654698,194.10387563690625
2005/2/28,1154.087,182.7579162734131,200.1421996538543
2005/3/31,1129.61,178.88180856522095,195.89738914916325
2005/4/29,1102.805,174.63704543583052,191.24885601282122
2005/5/31,1122.379,177.73672808812256,191.24885601282122
2005/6/30,1131.385,179.1628924881707,191.24885601282122
2005/7/29,1173.014,185.7551418563257,191.24885601282122
2005/8/31,1171.924,185.58253257406363,191.24885601282122
2005/9/30,1191.366,188.66131208391658,191.24885601282122
2005/10/31,1159.954,183.6869976119743,191.24885601282122
2005/11/30,1194.864,189.21524535855224,197.00468560900143
2005/12/30,1211.065,191.7807893786699,199.675845600056
2006/1/31,1263.438,200.0744278556543,208.31090900425954
2006/2/28,1260.785,199.65430636405674,207.8734923351485
2006/3/31,1285.326,203.54054892918901,211.91972018160675
2006/4/28,1322.193,209.37870159814025,217.998212582706
2006/5/31,1277.449,202.2931697398509,217.998212582706
2006/6/30,1276.833,202.19562174180186,217.998212582706
2006/7/31,1285.72,203.60294164222688,217.998212582706
2006/8/31,1317.846,208.6903231119078,217.998212582706
2006/9/29,1337.154,211.74788276504233,217.998212582706
2006/10/31,1388.508,219.8801553166826,217.998212582706
2006/11/30,1422.625,225.28282585148634,223.35464194334648
2006/12/29,1449.572,229.55007569471272,227.5853686186455
2007/1/31,1466.337,232.2049331416156,230.21750327969832
2007/2/28,1448.531,229.38522591229545,227.42192977688256
2007/3/30,1477.934,234.04140089060053,232.0382527973976
2007/4/30,1551.327,245.66370644386873,243.561083646109
2007/5/31,1591.212,251.97978096040436,243.561083646109
2007/6/29,1575.851,249.5472569376263,243.561083646109
2007/7/31,1536.17,243.2634872775874,243.561083646109
2007/8/31,1536.848,243.3708534182972,243.561083646109
2007/9/28,1612.612,255.3686237497704,243.561083646109
2007/10/31,1666.86,263.95918186367345,243.561083646109
2007/11/30,1591.785,252.07051960144676,232.5911471459041
2007/12/31,1574.554,249.34186772744835,230.0733585899929
2008/1/31,1447.907,229.2864110571289,211.56773690579098
2008/2/29,1435.001,227.24265381228975,209.6819160536878
2008/3/31,1423.001,225.34236813600978,207.92847965005865
2008/4/30,1490.358,236.00882999410908,217.7706643033294
2008/5/30,1504.583,238.26146030619938,217.7706643033294
2008/6/30,1380.611,218.62960898455069,217.7706643033294
2008/7/31,1347.122,213.32638673347225,217.7706643033294
2008/8/29,1329.262,210.49812821860885,217.7706643033294
2008/9/30,1168.465,185.0347752278759,217.7706643033294
2008/10/31,940.405,148.9198459501745,217.7706643033294
2008/11/28,871.15,137.95282224094353,201.73320453192548
2008/12/31,892.353,141.3104686737906,206.64320755745544
2009/1/30,810.991,128.42621507433284,187.8021159117842
2009/2/27,728.081,115.29682462263493,168.60255213087166
2009/3/31,786.596,124.56309265159528,182.15293778567923
2009/4/30,873.625,138.3447561616763,202.30634312024725
2009/5/29,947.181,149.99287392871395,202.30634312024725
2009/6/30,938.641,148.64050395576135,202.30634312024725
2009/7/31,1022.132,161.8618999056191,202.30634312024725
2009/8/31,1062.092,168.18985120763156,202.30634312024725
2009/9/30,1110.526,175.859720911377,202.30634312024725
2009/10/30,1090.819,172.73897675950616,202.30634312024725
2009/11/30,1139.112,180.38651810655534,211.26289799168433
2009/12/31,1159.646,183.6382236129498,215.07119107204974
2010/1/29,1103.509,174.74852886217226,204.65986601835954
2010/2/26,1117.317,176.9351242470118,207.22073632388629
2010/3/31,1185.795,187.7791044587036,219.92085775942076
2010/4/30,1183.88,187.4758505361973,219.56569650253468
2010/5/31,1064.11,168.50941591552595,219.56569650253468
2010/6/30,1024.323,162.20886039867995,219.56569650253468
2010/7/30,1111.869,176.07239454998066,219.56569650253468
2010/8/31,1066.225,168.8443412659703,219.56569650253468
2010/9/30,1169.939,185.26819365177897,219.56569650253468
2010/10/29,1214.668,192.35135015297297,219.56569650253468
2010/11/30,1180.449,186.93252718992088,213.38020501957786
2010/12/31,1265.642,200.42344699153105,228.77985363314176
2011/1/31,1296.269,205.2734511088167,234.31604836847941
2011/2/28,1337.737,211.84020497748162,241.81188287022567
2011/3/31,1334.316,211.29846520260213,241.1934964076407
2011/4/29,1392.894,220.57470973136293,251.78216703181573
2011/5/31,1357.709,215.0029137713703,251.78216703181573
2011/6/30,1330.121,210.63415700160257,251.78216703181573
2011/7/29,1297.87,205.52698088946033,251.78216703181573
2011/8/31,1204.864,190.7988167554522,251.78216703181573
2011/9/30,1090.262,172.65077183269884,251.78216703181573
2011/10/31,1215.009,192.40534993760727,251.78216703181573
2011/11/30,1184.585,187.58749231967872,245.4775053792881
2011/12/30,1181.536,187.10466140076392,244.8456715185677
2012/1/31,1240.27,196.40560964331635,257.01691782081457
2012/2/29,1297.641,205.49071710447137,268.90571428634064
2012/3/30,1311.769,207.72798677401167,271.83341149337815
2012/4/30,1296.143,205.25349810921574,268.59528886050947
2012/5/31,1179.559,186.79158933559677,268.59528886050947
2012/6/29,1237.608,195.98406293746157,268.59528886050947
2012/7/31,1256.822,199.02673701946523,268.59528886050947
2012/8/31,1289.209,204.15544970260527,268.59528886050947
2012/9/28,1323.14,209.52866580942668,268.59528886050947
2012/10/31,1314.373,208.14034876576443,268.59528886050947
2012/11/30,1326.976,210.13612379727755,271.1707422710018
2012/12/31,1346.094,213.16359559387095,275.07755162605946
2013/1/31,1415.114,224.09340537527473,289.18195489450176
2013/2/28,1411.368,223.500199529996,288.4164507704278
2013/3/29,1438.164,227.74353744512922,293.8922779217054
2013/4/30,1471.734,233.05958662452252,300.7523882914766
2013/5/31,1475.793,233.70235825452423,300.7523882914766
2013/6/28,1431.186,226.6385213243724,300.7523882914766
2013/7/31,1512.148,239.4594320679542,300.7523882914766
2013/8/30,1476.648,233.8377536089592,300.7523882914766
2013/9/30,1543.63,244.4448315396748,300.7523882914766
2013/10/31,1608.81,254.76654990466898,300.7523882914766
2013/11/29,1634.71,258.86799982264,305.5941575847737
2013/12/31,1669.505,264.37803649815356,312.09876617783436
2014/1/31,1606.719,254.43542512557718,300.36149487092507
2014/2/28,1692.274,267.98367021175517,316.3552235152506
2014/3/31,1693.698,268.2091707786737,316.6214273559322
2014/4/30,1712.839,271.24028478948003,320.1996631104882
2014/5/30,1737.299,275.11370042629744,320.1996631104882
2014/6/30,1760.613,278.8056387810301,320.1996631104882
2014/7/31,1727.703,273.5941053138322,320.1996631104882
2014/8/29,1769.007,280.13488861158794,320.1996631104882
2014/9/30,1715.717,271.69603663750786,320.1996631104882
2014/10/31,1728.406,273.70543038303424,320.1996631104882
2014/11/28,1762.552,279.11269327488895,326.525455601703
2014/12/31,1732.051,274.2826421572043,320.8749256194344
2015/1/30,1693.168,268.125241494638,313.6715697523955
2015/2/27,1788.836,283.27495233450094,331.3947559542799
2015/3/31,1752.104,277.45817787940786,324.58988833326123
2015/4/30,1787.695,283.09426683811466,331.1833774844013
2015/5/29,1786.554,282.9135813417284,331.1833774844013
2015/6/30,1741.539,275.78513469858297,331.1833774844013
2015/7/31,1773.777,280.89025216790924,331.1833774844013
2015/8/31,1651.383,261.5082884126914,331.1833774844013
2015/9/30,1593.37,252.32151566785538,331.1833774844013
2015/10/30,1714.789,271.5490812118755,331.1833774844013
2015/11/30,1703.93,269.8294810319818,329.086139692403
2015/12/31,1668.74,264.2568932862907,322.28976821248557
2016/1/29,1571.345,248.83369966618315,303.479520975016
2016/2/29,1558.985,246.8764054196147,301.0923896453263
2016/3/31,1664.591,263.59986951371684,321.4884568947766
2016/4/29,1682.511,266.4376294569617,324.9494110556212
2016/5/31,1688.354,267.3629102241704,324.9494110556212
2016/6/30,1668.898,264.2819137143617,324.9494110556212
2016/7/29,1734.485,274.6680834352097,324.9494110556212
2016/8/31,1731.404,274.18018508782484,324.9494110556212
2016/9/30,1736.797,275.03420514217305,324.9494110556212
2016/10/31,1696.188,268.6034800565019,324.9494110556212
